%%EvolvingGraph directed
i,j,timestamps,p2,p1
hall,marcus,2,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,
hall,minc,2,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,
hall,penrose,2,a generalized inverse for matrices,on ranks of integral generalized inverses of integral matrices,
katz,ben-israel,2,generalized inverses: theory and applications,on ranks of integral generalized inverses of integral matrices,
katz,greville,2,generalized inverses: theory and applications,on ranks of integral generalized inverses of integral matrices,
katz,boullion,2,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,
katz,odell,2,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,
katz,marcus,2,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,
katz,minc,2,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,
katz,penrose,2,a generalized inverse for matrices,on ranks of integral generalized inverses of integral matrices,
